Risk ID,Category,Description,Probability,Impact,Risk Score,Mitigation Strategy,Owner,Status
R001,External Dependency,App Store review rejection - app rejected due to missing privacy manifest or guideline violation,Medium,High,6,Follow Apple Human Interface Guidelines strictly; include required privacy manifest for all third-party SDKs (Firebase etc.); review App Store Review Guidelines checklist before submission; allow buffer week for re-submission,Engineer,Open
R002,Technical,Weekly Lambda job failure - spot selection or notification dispatch fails silently during live weekly run,Low,High,4,Implement CloudWatch alarms on Lambda errors and timeout; add structured logging for each job step; implement retry logic for notification dispatch; test job manually in dev for 2+ consecutive weeks before launch,Engineer,Open
R003,External Dependency,Google Places API quota exhaustion - Places API calls exceed free tier or provisioned quota,Medium,High,6,Request quota increase before launch; cache venue search results in Firestore (re-query only when exclusion list changes or venues exhaust); monitor quota usage in Google Cloud Console; set up budget alerts,Engineer,Open
R004,Technical,Firebase Authentication misconfiguration - Apple Sign-In or Google Sign-In breaks due to cert or client ID misconfiguration,Medium,High,6,Test both auth providers on physical device before iOS feature-complete milestone; keep Apple Sign-In certs and Firebase OAuth client IDs documented; test session expiry and token refresh paths explicitly,Engineer,Open
R005,Technical,Push notification delivery failure - APNs cert expires or FCM token refresh not handled,Low,High,4,Set APNs certificate expiry reminder 90 days before expiry; implement FCM token refresh listener in iOS app and re-register token on change; validate push delivery in each weekly job test run,Engineer,Open
R006,Schedule,iOS App Store preparation underestimated - screenshots, privacy manifest, metadata take longer than planned,Medium,Medium,4,Begin App Store Connect account setup and metadata drafting in Week 9 (before iOS feature-complete); use App Store screenshot templates; treat App Store submission checklist as a first-class task,Engineer,Open
R007,Security,Firestore security rules too permissive - users able to read other users invites or RSVP data,Low,High,4,Write and test Firestore security rules before any data is written in dev environment; include security rules in version control; run security review in Phase 4 with explicit test cases for cross-user data access,Engineer,Open
R008,Security,Google Places API key exposed in iOS binary or repository - key scraped and used by third party,Medium,High,6,Never embed Places API key in iOS app; all Places queries run server-side in Lambda; restrict API key in Google Cloud Console to server IP range; use AWS Secrets Manager for key storage; add secret scanning to CI pipeline,Engineer,Open
R009,Resource,Solo engineer unavailability - illness or competing priorities stall development for 1+ week,Medium,Medium,4,Keep code modular and well-documented; use clear WBS tasks so work can resume quickly; no single undocumented configuration step; environment setup fully documented in README,Engineer,Open
R010,Technical,Lambda cold start latency - Java Lambda cold starts cause user-facing API timeouts,Medium,Medium,4,Use Lambda Provisioned Concurrency for user-facing endpoints if cold start p99 exceeds 2 seconds; minimize Lambda package size; consider GraalVM native image compilation for the backend if startup time is problematic,Engineer,Open
R011,Schedule,Weekly job complexity overruns estimate - spot selection logic more complex than anticipated,Medium,Medium,4,Begin weekly job implementation (1.3.6) in Week 3 immediately after auth layer; timebox exploration of Google Places API query approach to 1 day; simplify spot selection to random selection from Places API results if curated logic takes too long,Engineer,Open
R012,External Dependency,Apple Developer Program certificate or provisioning profile issue - blocks TestFlight distribution,Low,High,4,Verify Apple Developer account is in good standing before Week 10; generate distribution certificate and provisioning profile in Week 9 as part of App Store prep; do not leave cert generation to the day of submission,Engineer,Open
R013,Quality,Insufficient test coverage for weekly job edge cases - job behaves incorrectly when user count is zero or exclusion list is exhausted,Medium,Medium,4,Write explicit unit tests for: zero users in city; all venues on exclusion list; Google Places returns empty results; test these scenarios with Firebase Emulator before backend deployment milestone,Engineer,Open
R014,External Dependency,Firebase free tier Spark plan limits hit - Firestore read/write limits exceeded during testing or launch,Low,Medium,3,Monitor Firestore usage in Firebase console; upgrade to Blaze pay-as-you-go plan before launch (billing cap can be set); MVP data model is read-efficient (feed query is a single document read per user),Engineer,Open
R015,Privacy,User email address misuse - users concerned about receiving weekly email notifications they did not explicitly opt into,Medium,Medium,4,Include explicit email notification opt-in during onboarding; provide opt-out link in every email; include clear privacy policy linked from App Store listing and onboarding flow; store notification preferences in user profile,Engineer,Open
R016,Technical,Deep link handling broken - push notification tap does not navigate to correct screen on all iOS versions,Low,Medium,3,Test push notification deep linking on iOS 16 and iOS 17 on physical device; test both foreground and background app states; test cold launch deep link (app not running when notification tapped),Engineer,Open
R017,External Dependency,AWS region or service outage during weekly job run - Lambda invocation fails,Low,Medium,3,Deploy to a high-availability AWS region (us-west-2 for Seattle/Tacoma proximity); implement CloudWatch alarm to alert within 15 minutes of job failure; add manual trigger capability so job can be re-run if automatic trigger missed,Engineer,Open
R018,Scope,Scope creep from beta feedback - beta users request features outside MVP scope during TestFlight period,High,Low,3,Communicate MVP scope explicitly to beta users before distribution; maintain a post-MVP backlog in a separate document; do not implement new features during beta; only fix critical bugs reported in beta,Engineer,Open
